Khanty_people	__people__ethnicity__languages_spoken	Khanty_Language
Robert_Pratt	__people__person__gender	Male
James_Mellaart	__people__person__nationality	United_Kingdom
Brenda_Shaughnessy	__people__person__place_of_birth	Okinawa_Prefecture
Horse	__book__book_subject__works	Horse_Anatomy
Joseph_Barbera	__people__deceased_person__place_of_death	Los_Angeles
Hoodwink	__film__film__genre	Crime_Fiction
Shropshire	__location__location__contains	North_Shropshire
Karl_Urban	__award__award_winner__awards_won	Ian_McKellen
Todd_Sucherman	__common__topic__notable_types	Musical_Artist
Bong_Ramos	__common__topic__notable_types	Film_director
John_Finn	__freebase__valuenotation__is_reviewed	Date_of_birth
Eths	__music__artist__genre	Rap_metal
Kerala	__location__location__people_born_here	Tom_George
Edward_Abbey	__book__author__works_written	Jonathan_Troy
Konstanty_Lewkowicz	__people__person__nationality	Poland
Wild_Dances	__music__album__artist	Ruslana
Hound_Group	__biology__animal_breed__registered_with	Plott_Hound
Holden_EJ	__automotive__model__automotive_class	Mid-size_car
All_Things_Set_Aside	__music__album__release_type	Album
Cult_Comedies	__media_common__netflix_genre__titles	Office_Space
Down_With_Love	__music__release__track	Kissing_a_Fool
Lauren_Gunderson	__people__person__profession	Playwright
J._Vaughan_Gary	__people__person__gender	Male
Karl_Urban	__award__award_winner__awards_won	John_Cho
Brown_Sugar	__music__recording__tracks	Brown_Sugar
Sawasdee_Bangkok	__film__film__written_by	Wisit_Sasanatieng
Philippe_Gaumont	__people__person__place_of_birth	France
Ljubljana	__location__location__people_born_here	Jovan_Vidović
Pablo_Colonnese	__people__person__gender	Male
Screwball_comedy	__film__film_genre__films_in_this_genre	Like_Father_Like_Son
Vincenzo_Italiano	__people__person__gender	Male
James_Maxwell	__people__person__profession	Scientist
John_Seely_Brown	__education__field_of_study__students_majoring	Mathematics
Vandana_Shiva	__people__person__nationality	India
Reno	__film__film__edited_by	Harry_Marker
Satellites_LV	__music__artist__genre	Progressive_rock
Kerttisak_Udomnak	__people__person__place_of_birth	Thailand
Michael_Prepon	__people__person__children	Laura_Prepon
Drake_Thomas	__people__person__gender	Male
The_Stone_Cold_Truth	__film__film__genre	Documentary_film
Cyclohexanol	__common__topic__notable_types	Chemical_Compound
Asphalt_5	__cvg__game_version__developer	Gameloft
Kálmán_Konrád	__people__person__gender	Male
Box_Elder_County	__location__us_county__hud_county_place	Honeyville
Terra_Shin	__common__topic__notable_types	Film_director
I_am_the_Great_Horse	__book__written_work__author	Katherine_Roberts
Ferrelview	__location__location__containedby	Missouri
Living_a_Dream	__music__album__artist	Katherine_Jenkins
Mohammed_Diallo	__people__person__gender	Male
Colin_Harper_Plank	__people__person__profession	Cinematographer
J._R._Havlan	__people__person__gender	Male
Karl_Urban	__award__award_winner__awards_won	Bernard_Hill
Greensburg	__location__location__people_born_here	Don_Walko
Ljubljana	__location__location__people_born_here	Marjana_Brecelj
Richard_Thompson	__broadcast__artist__content	Acoustic_Caf.
Language	__freebase__query_hints__related_type	Language
Titan	__music__recording__tracks	Titan
Disappearing_Acts	__freebase__valuenotation__is_reviewed	Initial_release_date
Ljubljana	__location__location__people_born_here	Janko_Kastelic
South_Australia	__music__release_track__recording	South_Australia
The_Back_Room	__music__release__track	Munich
Hugh_Latimer	__people__person__nationality	England
René_Thury	__influence__influence_node__influenced_by	Marcel_Deprez
Ron_Wolf	__people__person__profession	Cinematographer
You're_Beautiful	__music__release__track	I_Have_a_Dream
Javier_Robles	__people__person__place_of_birth	Buenos_Aires
In_the_Army_Now	__music__release__producers	Pip_Williams
Greg_F._Gifune	__people__person__profession	Writer
Ontario	__location__location__people_born_here	Del_Crandall
Target_North_Korea	__book__written_work__subjects	21st_century
Shropshire	__location__location__contains	Aldon
A_House_of_Mad_Souls	__film__film__genre	Supernatural
Pascal_Kané	__people__person__gender	Male
Robe_Iniesta	__music__artist__genre	Progressive_rock
Lohengrin	__music__composition__lyricist	Richard_Wagner
Abdul_Zahir	__freebase__valuenotation__is_reviewed	Place_of_birth
Stephen_Bekassy	__people__deceased_person__place_of_death	Budapest
Bazil_Ashmawy	__common__topic__notable_types	TV_Personality
Thalaivasal	__film__film__country	India
The_Big_Beat	__music__album__genre	Jazz
Switzerland	__music__recording__artist	D-Sisive
Songwriter	__common__topic__notable_types	Creative_Work
Pethampalayam	__location__location__containedby	Erode_district
Success_Express	__biology__organism__organism_type	Horse
The_Goodbye_Girl	__media_common__netflix_title__netflix_genres	Romance_Film
John_F._Sandner	__people__person__profession	Businessperson
Prime_Cuts	__music__album__release_type	Album
Tim_Brown	__sports__sports_position__players	Wide_receiver
Cunene_Province	__location__location__containedby	Angola
Auckland_Airport	__aviation__airport__hub_for	Freedom_Air
Gilbert_Monture	__people__person__gender	Male
Cult_Comedies	__media_common__netflix_genre__titles	Clue
Ibn_Hazm	__user__alexander__philosophy__philosopher__interests	Metaphysics
Graham_Guy	__people__person__place_of_birth	Bellshill
Ljubljana	__location__location__people_born_here	Robert_Kranjec
Mike_Fenton	__people__person__profession	Television_producer
Auckland_Airport	__aviation__airport__hub_for	Air_Freight_NZ
Desafinado	__music__recording__artist	Stan_Getz
Sonic_Machine	__music__release__format	Compact_disc
Beer_Pong	__cvg__computer_videogame__cvg_genre	Sports_game
Bernard_Galler	__people__person__gender	Male
Gemma_Padley	__people__person__nationality	United_Kingdom
Alex_Kingston	__award__award_nominee__award_nominations	Gloria_Reuben
Kindergarten	__book__book__genre	Fiction
Kerala	__location__location__people_born_here	Sathaar
Up_in_Fire	__music__release__track_list	Beautiful_Eyes
Stop-Loss	__media_common__netflix_title__netflix_genres	Military_Dramas
Patricia_Clarkson	__award__award_nominee__award_nominations	Bonnie_Hunt
Edward_J._Adams	__people__deceased_person__cause_of_death	Firearm
Spring_Waltz	__tv__tv_program__genre	Romance_Film
Luca_Scapuzzi	__people__person__gender	Male
Forestville	__location__location__containedby	Sanilac_County
Homero_Cárpena	__people__person__profession	Screenwriter
Haley_Ryan	__people__person__parents	Shawn_Ryan
New_Orleans	__music__album__releases	New_Orleans
Liverpool	__common__topic__notable_types	Video_Game_Version
New_Haven_Lawn_Club	__architecture__structure__architectural_style	Streamline_Moderne
Bruton_Jones	__film__film_production_designer__films_production_designed	Lakeview_Terrace
Al_Di_Meola	__music__artist__album	Elegant_Gypsy
Les_Incontournables	__music__album__album_content_type	Compilation_album
Fronte_dell'essere	__music__release__track_list	Buenos_Aires
Eths	__music__artist__genre	Metalcore
Louisiana_Boardwalk	__architecture__building__building_function	Shopping_mall
The_Thief_of_Bagdad	__film__film__genre	Tamil_cinema
l'Amour	__music__release__region	Netherlands
Georgio	__people__person__ethnicity	African_American
Ljubljana	__location__location__people_born_here	Mateja_Svet
American_Idol	__tv__tv_personality__tv_regular_appearances	Tommy_Hilfiger
Eve_Merriam	__freebase__valuenotation__is_reviewed	Gender
Screwball_comedy	__film__film_genre__films_in_this_genre	Canadian_Bacon
Salisbury	__location__location__containedby	England
Ken_Hayward	__people__person__gender	Male
Putnam_County	__symbols__namesake__named_after	Israel_Putnam
Nikos_Tsiforos	__people__person__profession	Screenwriter
Hear_Me_Out	__music__release__track	RU
Tweet	__music__artist__track	Oops_(Oh_My)
happy_days	__music__release_track__release	delicious_way
Ian_Bolt	__people__person__nationality	United_Kingdom
Ruby_Lindsay	__people__deceased_person__cause_of_death	Influenza
Peter_Whitehead	__people__person__place_of_birth	Menston
Arthur_Miller	__people__person__profession	Essayist
Cle_Shaheed_Sloan	__common__topic__notable_types	Film_director
Seth_Winston	__people__person__gender	Male
Highland_Park_Blues	__film__film__genre	Romantic_comedy
Polow_da_Don	__music__producer__releases_produced	Monster
Josh_Brolin	__freebase__valuenotation__is_reviewed	Date_of_birth
Hollywood	__music__release__album	Hollywood
Scott_Gibbs	__people__person__gender	Male
Patrick_Ogunsoto	__people__person__place_of_birth	Lagos
David_Wotherspoon	__people__person__nationality	Scotland
Malik_Bendjelloul	__common__topic__notable_types	Film_director
Alan_Moulder	__freebase__valuenotation__is_reviewed	Date_of_birth
Screwball_comedy	__film__film_genre__films_in_this_genre	Haunted_Honeymoon
El_cariñoso	__film__film__country	Mexico
Rosuvastatin	__medicine__drug_ingredient__active_moiety_of_drug	Rosuvastatin
96fm	__common__topic__notable_types	Radio_Station
Straight_and_Alert	__music__release__format	Compact_disc
Toronto	__music__recording__tracks	Toronto
Hideaki_Ito	__people__person__gender	Male
Thuban	__astronomy__star__constellation	Draco
Travis_Charest	__comic_books__comic_book_creator__characters_created	Laira
Chilmark	__location__location__containedby	Dukes_County
Ron_Fairly	__people__person__profession	Baseball_player
Shropshire	__location__location__contains	Comley
Joseph_Pulitzer	__common__topic__notable_types	U.S._Congressperson
Kerala	__location__location__people_born_here	V._M._Sudheeran
Zion	__music__release_track__recording	Zion
Phil_Hendrie	__people__person__profession	Comedian
Clemente_Bondi	__people__person__gender	Male
Faisal_Mosque	__architecture__structure__architectural_style	Islamic_architecture
The_Violent_Men	__film__film__film_format	CinemaScope
Kerala	__location__location__people_born_here	Sohan_Roy
Kerala	__location__location__people_born_here	Helen_Mary
If	__book__written_work__subjects	Christianity
Singer-Songwriter	__music__recording__tracks	Singer-Songwriter
Smiths_Group	__business__business_operation__industry	Aerospace
Karl_Burns	__people__person__place_of_birth	Manchester
Christopher_Hopper	__music__artist__origin	Ithaca
A_Goofy_Movie	__film__film__film_art_direction_by	Larry_Leker
True_Romantic	__music__album__artist	Kate_Ceberano
Kit_Pedler	__people__person__gender	Male
Zaskia_Adya_Mecca	__people__person__place_of_birth	Jakarta
Demon	__tv__tv_series_episode__director	Anson_Williams
Janice_Burgess	__people__person__profession	Television_producer
Harmony_Township	__location__location__containedby	Indiana
Bergstraße_Route	__base__aareas__schema__administrative_area__capital	Heppenheim
Star	__music__release_track__recording	Star
Alan_Bissett	__people__person__gender	Male
Yūko_Kaida	__common__topic__notable_types	Musical_Artist
Bill_Coley	__people__person__religion	Christianity
Amiga	__cvg__cvg_platform__games	Flames_of_Freedom
Fallen	__film__film__genre	Fantasy
Chong_Ted_Tsiung	__people__person__nationality	Malaysia
Marvin_Yancy	__people__person__profession	Record_producer
Twilight	__music__single__versions	Twilight
Petr_Eben	__people__person__gender	Male
Melissa_&_Joey	__tv__tv_program__program_creator	David_Kendall
Kibbee	__location__location__containedby	Montgomery_County
Moufid_Aziz	__people__person__profession	Model
Chen_Yi_Fei	__common__topic__notable_types	Film_director
Lucky_Star	__film__film__country	India
Tennis	__olympics__olympic_sport__olympic_games_contested	1896_Summer_Olympics
Black_Rock	__location__neighborhood__neighborhood_of	Bridgeport
John_Herzfeld	__people__person__place_of_birth	Newark
Bill_Orban	__people__person__profession	Scientist
Roger_Carel	__people__person__nationality	France
Showcase	__music__album__release_type	Album
Ljubljana	__location__location__people_born_here	Alenka_Godec
Bobby_Henrich	__people__person__profession	Baseball_player
Atilla_Engin	__music__artist__genre	Jazz
Africa	__music__recording__artist	Toto
Kid_Kaplan	__people__person__place_of_birth	Russia
Rodger_Jacobs	__people__person__profession	Film_Producer
Ljubljana	__location__location__people_born_here	Željko_Milinovič
P_Digsss	__people__person__gender	Male
Manfred_Weidmann	__people__person__gender	Male
David	__common__topic__notable_types	Film_character
Paolo_Bozzi	__people__person__gender	Male
Didier_Gigon	__people__person__gender	Male
Pham_Son_Duong	__people__person__parents	Pham_Van_Dong
WalesConwy	__common__image__appears_in_topic_gallery	Llanrwst
Poison	__common__topic__notable_types	Musical_Album
The_Yellow_Peril	__book__book__genre	Mathematics
Castle_Classics	__music__record_label__releases	Gold
Shinta_Hifumi	__people__person__gender	Male
Apache_Beehive	__computer__software__languages_used	Java
Jens_Rasiejewski	__soccer__football_player__position_s	Defender
Tony_Rizzo	__people__person__gender	Male
Hector_Orezzoli	__people__deceased_person__place_of_death	Manhattan
Box_Elder_County	__location__us_county__hud_county_place	Tremonton
Reg_Strikes_Back	__music__album__genre	Rock_music
Djibouti_region	__base__aareas__schema__administrative_area_type__sovereignty	Djibouti
Perry_Kretz	__visual_art__visual_artist__art_forms	Photography
Thomas_Nelson	__book__publishing_company__books_published	Red
Le'Shai_Maston	__people__person__gender	Male
Willie_Anderson	__people__person__profession	Basketball_player
Jackson_Brundage	__people__person__gender	Male
Henry_Killigrew	__people__person__place_of_birth	Hanworth
Gary_Forrester	__influence__influence_node__influenced_by	Allen_Ginsberg
Madison_County	__location__location__containedby	Mississippi
Daybreak	__music__recording__tracks	Daybreak
David_Glasser	__people__person__gender	Male
Gigha	__food__dish__cuisine	Scottish_cuisine
Lea_Shabat	__people__person__place_of_birth	Yehud
Giuseppe_Bassan	__people__person__gender	Male
John_Morton_Boyd	__people__person__nationality	Scotland
funk	__music__recording__tracks	funk
David_Wayne	__people__person__gender	Male
Avi_Arad	__freebase__valuenotation__is_reviewed	Place_of_birth
Siege_of_Vienna	__time__event__locations	Lower_Austria
Bohumil_Hes	__people__person__gender	Male
Alex_Romero	__people__person__place_of_birth	Maracaibo
Hard_Headed_Woman	__music__composition__lyricist	John_Lee_Hooker
Gloria	__music__artist__track	John_Lee_Hooker
Spike	__music__release_track__recording	Spike
Cliff_Sekete	__people__person__place_of_birth	Zimbabwe
Automotive_Engineer	__people__profession__people_with_this_profession	Ferdinand_Porsche
Karsten_Surmann	__people__person__gender	Male
Reincarnation	__music__recording__tracks	Reincarnation
Johnny_Mapson	__people__person__gender	Male
Diego_Rivera	__film__actor__film	Rubén_Blades
Death_by_Government	__book__written_work__subjects	Government
Tiefschwarz	__music__artist__track	Fantasy
Dondre_Whitfield	__people__person__ethnicity	African_American
Bernardo_Sainz	__people__person__gender	Male
Loire	__geography__body_of_water__bridges	Pont_de_Saumur
Salwá_Bakr	__people__person__nationality	Egypt
Bullet	__music__recording__artist	Chasen
Levonorgestrel	__medicine__drug__drug_class	Progestin
Ed_Holley	__people__person__gender	Male
Luke_Kruytbosch	__people__person__gender	Male
Wim_Wenders	__people__person__ethnicity	Germans
The_Pogues	__music__group_member__membership	Shane_MacGowan
One	__music__release__label	Warner_Bros._Records
The_Flood	__common__topic__notable_types	Opera
Keith_Perna	__people__person__gender	Male
Walter_Romberg	__people__person__gender	Male
Photography	__music__recording__releases	Epilogue
Malcolm_Colcord	__fictional_universe__fictional_character__occupation	Soldier
Expo_Line	__metropolitan_transit__transit_line__service_type	Train
Rob_Base	__people__person__profession	Singer
Empire_Maker	__base__thoroughbredracing__thoroughbred_racehorse__foal_if_this_horse_is_sire	Acting_Happy
Dwight_Howard	__people__person__parents	Dwight_Howard_Sr.
Marjorie_Fleming	__people__person__profession	Writer
Jim_Kale	__music__group_member__instruments_played	Bass_guitar
Robert_A._Heinlein	__influence__influence_node__influenced_by	Rudyard_Kipling
Trap_House	__music__album__release_type	Album
Roy_Green	__american_football__football_player__position_s	Wide_receiver
Karl_Urban	__award__award_winner__awards_won	Viggo_Mortensen
Polaris_Recall	__music__composition__lyricist	Leslie_Fish
Arrow	__music__composition__lyricist	Cheryl_Wheeler
Lonely_House	__music__release__track	Believe
The_Planeteer	__music__album__genre	Jazz
Viola	__music__release_track__recording	Viola
Midland	__location__location__people_born_here	David_Onley
British_thermal_unit	__common__topic__notable_types	Unit_of_Energy
Turn_to_Me	__music__album__artist	Vanessa_Amorosi
Northern_Star	__music__release__track	Closer
Abrar-ul-Haq	__people__person__profession	Singer-songwriter
Alfred_Philippe_Roll	__people__deceased_person__place_of_death	Paris
Bicton	__location__location__containedby	United_Kingdom
RCMP	__book__written_work__subjects	Photography
Tommy_Phelps	__people__person__gender	Male
Tamar_Kozlov	__people__person__place_of_birth	Montreal
Zambia	__music__release_track__recording	Zambia
Brendan_Connor	__people__person__gender	Male
Patrick_DesRochers	__common__topic__notable_types	Ice_hockey_player
Friends_and_Heroes	__tv__tv_program__genre	Animation
Nathaniel_P._Banks	__people__person__profession	Soldier
William_Boeing	__people__person__ethnicity	Germans
Bob_Martin	__people__person__place_of_birth	Minneapolis
Eric_Fawcett	__people__person__gender	Male
Tina_Fei_Chin	__people__person__place_of_birth	Shanghai
Moonlight_Serenades	__music__release__track	Deep_Purple
Javed_Akhtar	__people__person__profession	Lyricist
Eloise	__book__written_work__subjects	Adventure
Richard_Chataway	__people__person__profession	Cinematographer
99	__media_common__netflix_title__netflix_genres	Hindi_Language
Hunting_Chris_Ryan	__tv__tv_program__genre	Documentary_film
Mortal_Coils	__book__book__editions	Mortal_Coils
Black_rain	__music__recording__tracks	Black_rain
Andy_Pyle	__music__group_member__instruments_played	Bass_guitar
Magkaribal	__tv__tv_program__genre	Romance_Film
Missolonghi	__location__location__people_born_here	Nikolaos_Trikoupis
Spears_Corner	__location__location__containedby	Kennebec_County
Kerala	__location__location__people_born_here	Rekha_Mallick
Cult_Comedies	__media_common__netflix_genre__titles	Wayne's_World
Tarık_Akan	__people__person__gender	Male
Pittsfield_Township	__location__location__containedby	Illinois
Angel_Light	__book__written_work__author	Andrew_Greeley
Derrick_Walker	__people__person__gender	Male
Ljubljana	__location__location__people_born_here	Željko_Ivanek
Cabin_Fever	__music__album__release_type	Album
Pete_Weckbecker	__people__person__gender	Male
Pyramids_of_Güímar	__architecture__structure__architectural_style	Pyramid
Kerala	__location__location__people_born_here	Theresa_Setlur
Dilip_Mistry	__people__person__profession	Film_Producer
Eths	__music__artist__genre	Nu_metal
Balboa_Pavilion	__travel__tourist_attraction__near_travel_destination	Newport_Beach
William_Eckert	__people__person__gender	Male
Pierre_Février	__people__person__gender	Male
White_&_Biscuit	__base__petbreeds__dog_coat_color__dog_breeds	Anatolian_Shepherd
Master_of_Reality	__film__film__genre	Short_Film
Habanera	__music__recording__artist	Al_Di_Meola
Peter_Vaughan-Clarke	__people__person__gender	Male
Gabriel_Mason	__people__person__profession	Film_Producer
Homer_Dodge_Martin	__people__person__profession	Artist
Symphony_no._5	__music__album__artist	Valery_Gergiev
Benjamin_Massing	__people__person__gender	Male
Ljubljana	__location__location__people_born_here	Luka_Zujic
Ljubljana	__location__location__people_born_here	Tone_Seliškar
A_Estrada	__music__album__release_type	Album
London_86	__music__artist__genre	Rock_music
Kenny_Starr	__music__artist__label	MCA_Records
Ljubljana	__location__location__people_born_here	Milenko_Ačimovič
(31137)_1997_SQ32	__astronomy__star_system_body__star_system	Solar_System
Jurbarkas	__location__location__containedby	Lithuania
God	__music__release_track__recording	God
Verbena	__music__artist__genre	Post-grunge
Leilah_Moreno	__people__person__profession	Singer
Robert_E._Griffith	__people__person__gender	Male
Zhang_Chu	__people__person__nationality	China
Body_and_Soul	__music__album__release_type	Album
Appendicitis	__medicine__disease__risk_factors	Major_trauma
Chino	__location__location__people_born_here	Alisha_Klass
Manuel_V._Pangilinan	__people__person__profession	Businessperson
Ante_Nikšić	__people__person__nationality	Croatia
Klaus_Krämer	__people__person__gender	Male
Bionic_Commando	__cvg__game_version__developer	Grin
Chronicle	__film__film__genre	Crime_Fiction
Antonio_Aguilar	__people__person__gender	Male
Siddharth_Kak	__people__person__profession	Television_producer
John_Sadler	__people__person__nationality	England
Science_Fiction	__music__release_track__recording	Science_Fiction
Luis_Ernesto_Pérez	__people__person__nationality	Mexico
Amrita_Arora	__people__person__ethnicity	Malayali
Wynyard_Browne	__people__person__profession	Playwright
Heshmat_Sanjari	__people__person__gender	Male
Like_a_Prayer	__music__recording__artist	Madonna
All_Time_High	__music__recording__producer	David_Arnold
Vincent_Mentzel	__visual_art__visual_artist__art_forms	Photography
Trevor_Peacock	__people__person__profession	Songwriter
Trinity,_Jersey	__location__location__containedby	Europe
Stay	__music__composition__lyricist	Kumi_Koda
Yma_Súmac	__music__artist__album	Mambo!
Jeans	__media_common__netflix_title__netflix_genres	India
Granite_Mountain	__geography__geographical_feature__category	Mountain
Sex_in_Crazy_Places	__music__recording__artist	Gucci_Mane
Maciej_Maciejewski	__people__person__gender	Male
Stevie_Vann	__people__person__profession	Singer
Jack_Powell	__soccer__football_player__position_s	Defender
Canvas	__music__album__release_type	Album
Alberto_Fay	__people__person__gender	Male
Double_Tap	__film__film__language	Standard_Chinese
Rodrigo_Coelho	__people__person__gender	Male
Piers_Anthony	__freebase__valuenotation__is_reviewed	Date_of_birth
Major_Chandrakanth	__film__film__language	Telugu_language
Peter_Busch_Orthwein	__people__person__gender	Male
Ljubljana	__location__location__people_born_here	Uroš_Slokar
Vermont_Academy	__education__educational_institution__colors	Orange
Chicago	__music__recording__releases	Ghetto_Funk_Sessions
Cristian_Totti	__people__person__gender	Male
Artur_Brauner	__people__person__ethnicity	Germans
Léon_Mébiame	__people__person__gender	Male
Caleb_Johnson	__music__artist__genre	Rock_music
Kerala	__location__location__people_born_here	Tapovan_Maharaj
Kerala	__location__location__people_born_here	Sangeeth_Sivan
Al_Di_Meola	__music__artist__album	Casino
Reason_to_Believe	__music__composition__composer	Tim_Hardin
Aurora	__common__topic__notable_types	Film_character
The_Lost_City	__film__film__costume_design_by	Deborah_Lynn_Scott
Piezo	__people__person__nationality	Russia
Lipiodol	__medicine__drug__legal_status	Prescription_drug
James_Blake	__olympics__olympic_sport__athletes	Tennis
Jamal_Mirsadeghi	__people__person__nationality	Iran
Girls,_Girls	__music__recording__releases	Malibu's_Most_Wanted
A_Ride_for_a_Bride	__film__film__genre	Black-and-white
Masindi	__location__location__containedby	Masindi_District
Michael_Korie	__freebase__valuenotation__has_value	Place_of_birth
Tony_Hoagland	__people__person__place_of_birth	Fort_Bragg
Kerala	__location__location__people_born_here	Suma_Kanakala
Al_Di_Meola	__music__artist__album	Vocal_Rendezvous
Abel_Facello	__people__person__profession	Production_Designer
Kerala	__location__location__people_born_here	Wahid_Sali
Bow	__music__recording__tracks	Bow
Joseph-Désiré_Job	__people__person__gender	Male
Jindra_Dolanský	__people__person__gender	Male
Church_Ball	__film__film__genre	Family
Eric_Smith	__people__person__profession	Baseball_player
Dangerous	__music__recording__artist	David_Wilcox
Miroslav_Volf	__people__person__gender	Male
Knut_Erik_Jensen	__common__topic__notable_types	Film_director
Rhode_Island	__music__album__release_type	Album
In_the_Army_Now	__music__release__producers	Dave_Edmunds
Henry_Sharp	__people__deceased_person__place_of_death	Los_Angeles
The_Nuba_in_Sudan	__visual_art__artwork__art_form	Photography
Hex_Hector	__people__person__place_of_birth	Manhattan
Evelyn_Hallman_Pond	__geography__geographical_feature__category	Pond
Victor_Moses	__sports__sports_team__roster	Wigan_Athletic_F.C.
Luftwaffe	__music__artist__track	Florida
Coil_Cop	__cvg__game_version__platform	MSX
Mike_Fitzgerald	__people__person__gender	Male
Paul_Maldonado	__people__person__profession	Film_Producer
Taxi	__music__recording__releases	MegaSalvi
Bob_Allen	__people__person__profession	Baseball_player
Stranger_in_Paradise	__book__book__genre	Novel
Pork	__music__artist__genre	Post-grunge
Broadway_Barks	__book__written_work__subjects	Animal_rights
Jorge_De_Leon	__people__person__gender	Male
The_Cowboy_Way	__media_common__netflix_title__netflix_genres	Western
Andrew_J._Lee	__people__person__gender	Male
Henrik_von_Sydow	__people__person__parents	Max_von_Sydow
David_Williams	__people__person__place_of_birth	Sydney
Kiss_+_Swallow	__music__release__region	Earth
Berlin	__music__recording__tracks	Berlin
Cecilia	__music__artist__genre	Rock_music
Shropshire	__location__location__contains	Clungunford
Afro-Asian	__people__ethnicity__people	Amerie
Josh_Gordon	__people__person__gender	Male
Cult_Comedies	__media_common__netflix_genre__titles	Repo_Man
Dean_Pleasants	__music__group_member__instruments_played	Guitar
The_Blood_of_Others	__film__film__country	France
Tommy_Vig	__music__artist__origin	Budapest
Imogen_Murphy	__people__person__profession	Screenwriter
Heathers	__film__film__film_casting_director	Sally_Dennison
Sass_Jordan	__common__topic__notable_types	Musical_Artist
Anthony_Davis	__basketball__basketball_player__position_s	Center
Tennis	__olympics__olympic_sport__olympic_games_contested	1996_Summer_Olympics
Now_40	__music__album__release_type	Album
A_Witness	__music__artist__origin	Stockport
Mahaica-Berbice	__location__location__containedby	Guyana
Dal_Lake	__geography__lake__basin_countries	India
Ljubljana	__location__location__people_born_here	Danijel_Sraka
China,_My_Sorrow	__film__film__country	China
Robert_Mercieca	__people__person__profession	Film_Producer
Believe	__music__recording__tracks	Believe
Amiga	__cvg__cvg_platform__games	Pit-Fighter
Come_Clean	__music__release_track__release	Uprising
Western_Washington	__common__topic__notable_types	Location
Jamie_Dalrymple	__people__person__place_of_birth	Nairobi
Hazem_Emam	__people__person__nationality	Egypt
Too_Cold_at_Home	__music__album__release_type	Album
Kerala	__location__location__people_born_here	V._K._N.
Tim_Lilburn	__people__person__gender	Male
George_Peppard	__people__deceased_person__place_of_death	Los_Angeles
Samuel_Lord	__people__person__place_of_birth	United_Kingdom
Greensburg	__location__location__people_born_here	George_Dvorsky
Transmission_in_Time	__music__release__region	Earth
rand	__freebase__user_profile__location	Seattle
Isaac_Babbitt	__people__person__gender	Male
Hansel_and_Gretel	__book__written_work__author	Ian_Beck
Jason_Grimsley	__people__person__gender	Male
Neil_Bregman	__people__person__gender	Male
Triathlon	__olympics__olympic_participating_country__athletes	Costa_Rica
Clay_Puett	__people__person__profession	Inventor
A._James_Gregor	__people__person__gender	Male
Battle_of_Jaji	__time__event__included_in_event	Soviet–Afghan_War
Konrad_Szolajski	__people__person__gender	Male
Zambia	__music__recording__artist	Two_Ton_Shoe
Stay	__music__release_track__release	Like_a_Virgin
The_Hollies	__music__release__format	Compact_disc
David_\"Buck\"_Wheat	__people__person__profession	Songwriter
Bainbridge_Township	__location__location__containedby	Indiana
Kekal	__music__artist__genre	Extreme_metal
Freddy_Krueger	__music__release_track__release	Speak_English_or_Die
Miglustat	__medicine__drug__active_moieties	Miglustat
I'm_Every_Woman	__music__recording__tracks	I'm_Every_Woman
Mark_Gregg	__people__person__gender	Male
Mike_Roth	__people__person__profession	Television_producer
D.C._United	__sports__sports_position__players	Defender
Reggie_Jackson	__baseball__baseball_player__position_s	Right_fielder
Sparky_Marcus	__people__person__profession	Voice_Actor
Martyr	__music__single__versions	Martyr
Ljubljana	__location__location__people_born_here	Matic_Sirnik
Hal_Holbrook	__award__award_nominee__award_nominations	Vince_Vaughn
Ontario	__location__location__people_born_here	Henry_Bumstead
Ljubljana	__location__location__people_born_here	Gojmir_Lesnjak
Brunei_Revolt	__base__culturalevent__event__entity_involved	United_Kingdom
The_Fosters	__tv__tv_program__country_of_origin	United_Kingdom
Amsterdam	__music__recording__song	Amsterdam
Walt_Simonson	__fictional_universe__fictional_character_creator__fictional_characters_created	Justice
Ljubljana	__location__location__people_born_here	Tomaž_Sršen
More_Than_Ever	__music__release__track_list	Hollywood
Kerala	__location__location__people_born_here	Ali_Akbar
Richard_Chamberlain	__film__film_character__portrayed_in_films	Aramis
Lošinj	__common__topic__notable_types	Island
Samuel_Gee	__people__person__gender	Male
John_Dixon	__common__topic__notable_types	Film_director
Carlos_Thays	__people__person__nationality	France
Balabhaskar	__music__artist__genre	Fusion
Tommy_Brown	__people__person__profession	Record_producer
Edward_Adams	__people__person__gender	Male
Branko_Plesa	__people__deceased_person__place_of_death	Belgrade
Greg_Ham	__people__person__gender	Male
Donald_Trumbull	__people__person__gender	Male
Chuck_Hoberman	__people__person__profession	Inventor
Reunion	__music__recording__artist	Stars
Klinefelter_syndrome	__medicine__disease__notable_people_with_this_condition	Francis_Heaulme
Amy_Klinprathum	__people__person__profession	Model
Russell_Mark	__people__person__profession	Coach
Roy_Furr	__people__person__gender	Male
Shelagh_MacKenzie	__people__person__profession	Film_Producer
Elena_Vesnina	__olympics__olympic_participating_country__athletes	Russia
Engine_department	__book__book_subject__works	Atlantic_Britain
Mike_Vranos	__people__person__profession	Trader
Olanzapine_pamoate	__medicine__drug_ingredient__more_general_ingredient	Olanzapine
Jah_Cure	__people__person__profession	Artist
Tímea_Babos	__people__person__nationality	Hungary
Patrick_Stewart	__common__topic__image	Forehead
